stimulus,verb_onset,verb_offset,postverbal_determiner_onset,postverbal_noun_onset,postverbal_noun_offset,duration_of_verb,duration_of_intervening_determiner,intonation_break_bw_verb_and_determiner,delay_bw_onset_of_verb_and_onset_of_target_noun,image_name
audio/1r.mp3,1.267,1.536,1.579,1.72,2.386,0.269,0.141,0.043,0.453,c1
audio/1nr.mp3,0.914,1.251,1.265,1.46,2.053,0.337,0.195,0.014,0.546,c1
audio/2r.mp3,1.33,1.418,1.419,1.422,2.122,0.088,0.003,0.001,0.792,c2
audio/2nr.mp3,1.901,2.345,2.368,2.516,3.024,0.444,0.148,0.023,0.615,c2
audio/3r.mp3,1.552,2.107,2.129,2.341,2.804,0.555,0.212,0.022,0.789,c3
audio/3nr.mp3,1.408,1.922,1.939,2.045,2.6,0.514,0.106,0.017,0.637,c3
audio/4r.mp3,1.881,2.177,2.564,2.61,3.124,0.296,0.046,0.387,0.729,c4
audio/4nr.mp3,1.49,1.962,2.004,2.146,2.595,0.472,0.142,0.042,0.656,c4
audio/5r.mp3,1.649,2.086,2.182,2.334,2.672,0.437,0.152,0.096,0.685,c5
audio/5nr.mp3,1.907,2.33,2.359,2.53,2.828,0.423,0.171,0.029,0.623,c5
audio/6r.mp3,1.657,2.028,2.08,2.15,2.913,0.371,0.07,0.052,0.493,c6
audio/6nr.mp3,1.634,2.3,2.48,2.544,3.19,0.666,0.064,0.18,0.91,c6
audio/7r.mp3,1.67,2.146,2.153,2.283,3.044,0.476,0.13,0.007,0.613,c7
audio/7nr.mp3,2.395,2.825,2.933,3.038,3.868,0.43,0.105,0.108,0.643,c7
audio/8r.mp3,1.611,2.225,2.354,2.45,3.14,0.614,0.096,0.129,0.839,c8
audio/8nr.mp3,1.72,2.092,2.216,2.319,2.917,0.372,0.103,0.124,0.599,c8
audio/9r.mp3,1.631,1.94,1.99,2.097,2.678,0.309,0.107,0.05,0.466,c9
audio/9nr.mp3,1.585,1.995,2.116,2.225,2.854,0.41,0.109,0.121,0.64,c9
audio/10r.mp3,1.341,1.705,1.714,1.863,2.268,0.364,0.149,0.009,0.522,c10
audio/10nr.mp3,1.436,1.902,1.918,2.056,2.426,0.466,0.138,0.016,0.62,c10
audio/11r.mp3,1.27,1.83,1.88,2,2.97,0.56,0.12,0.05,0.73,c11
audio/11nr.mp3,1.44,1.66,1.96,2.07,3.02,0.52,0.11,0.11,0.63,c11
audio/12r.mp3,1.538,1.93,1.943,2.092,2.5,0.392,0.149,0.013,0.554,c12
audio/12nr.mp3,1.441,1.755,1.941,2.078,2.448,0.314,0.137,0.186,0.637,c12
audio/13r.mp3,1.723,2.184,2.296,2.438,2.864,0.461,0.142,0.112,0.715,c13
audio/13nr.mp3,1.813,2.218,2.388,2.522,2.899,0.405,0.134,0.17,0.709,c13
audio/14r.mp3,1.56,1.74,1.96,2.01,2.86,0.18,0.05,0.22,0.45,c14
audio/14nr.mp3,1.75,2.27,2.39,2.45,3.34,0.52,0.06,0.12,0.7,c14
audio/15r.mp3,1.98,2.34,2.44,2.58,3,0.36,0.14,0.1,0.6,c15
audio/15nr.mp3,1.41,1.61,1.76,1.88,2.27,0.2,0.12,0.15,0.47,c15
audio/16r.mp3,2.15,2.49,2.58,2.72,3.14,0.34,0.14,0.09,0.57,c16
audio/16nr.mp3,1.835,2.34,2.499,2.57,3.065,0.505,0.071,0.159,0.735,c16
,,,,,,,,,,
,1.62153125,2.02059375,2.11871875,2.23621875,2.8088125,0.4084375,0.1175,0.0921875,0.6146875,